emp_no,dept_no,from_date,to_date
13998,d005,05-06-1985,01-01-9999
15253,d004,06-06-1985,01-01-9999
19828,d006,06-06-1985,01-01-9999
11058,d008,07-06-1985,01-01-9999
20331,d004,07-06-1985,15-01-1995
20674,d001,07-06-1985,01-01-9999
11244,d009,08-06-1985,01-01-9999
15767,d004,08-06-1985,01-01-9999
21443,d002,08-06-1985,01-01-9999
18334,d005,09-06-1985,01-01-9999
11645,d004,10-06-1985,01-01-9999
18607,d007,10-06-1985,01-01-9999
20018,d009,10-06-1985,20-07-1985
20590,d005,11-06-1985,01-01-9999
11828,d007,12-06-1985,01-01-9999
13620,d004,12-06-1985,01-01-9999
19692,d009,12-06-1985,24-02-1994
14413,d007,13-06-1985,01-01-9999
17478,d008,13-06-1985,23-08-1997
20326,d004,13-06-1985,01-01-9999
20758,d007,13-06-1985,01-02-1999
11176,d004,15-06-1985,04-04-2002
19416,d007,15-06-1985,01-01-9999
19776,d004,15-06-1985,13-10-1986
10277,d007,16-06-1985,01-01-9999
14542,d009,16-06-1985,24-03-1995
16002,d005,16-06-1985,01-01-9999
21117,d001,16-06-1985,01-01-9999
11081,d002,17-06-1985,01-01-9999
19523,d002,18-06-1985,01-01-9999
21065,d004,18-06-1985,01-01-9999
21291,d005,18-06-1985,01-01-9999
10988,d005,19-06-1985,01-01-9999
16431,d008,19-06-1985,01-01-9999
11542,d003,20-06-1985,01-01-9999
11584,d005,20-06-1985,01-01-9999
13697,d005,20-06-1985,01-01-9999
17840,d005,20-06-1985,01-01-9999
21111,d004,20-06-1985,01-01-9999
12199,d007,22-06-1985,01-01-9999
17870,d006,24-06-1985,01-01-9999
21413,d007,24-06-1985,01-01-9999
14242,d009,27-06-1985,01-01-9999
14363,d006,27-06-1985,01-01-9999
20209,d007,27-06-1985,10-02-1993
13507,d005,28-06-1985,04-12-1997
18326,d004,30-06-1985,01-01-9999
13695,d001,02-07-1985,01-01-9999
16326,d003,03-07-1985,01-01-9999
16802,d001,03-07-1985,01-01-9999
16994,d005,03-07-1985,18-08-1995
18033,d009,03-07-1985,25-01-1988
21610,d001,03-07-1985,10-10-1985
10768,d004,04-07-1985,01-01-9999
13561,d004,05-07-1985,01-01-9999
17340,d002,05-07-1985,01-01-9999
18275,d001,05-07-1985,01-01-9999
10426,d005,06-07-1985,01-01-9999
11580,d004,06-07-1985,01-01-9999
13461,d003,06-07-1985,07-11-1996
14282,d007,06-07-1985,01-01-9999
14688,d001,06-07-1985,08-08-1985
17273,d004,06-07-1985,01-01-9999
18601,d002,06-07-1985,18-05-1993
11322,d006,07-07-1985,01-01-9999
17238,d007,07-07-1985,01-01-9999
16450,d006,09-07-1985,25-05-1989
16044,d009,11-07-1985,01-01-9999
12990,d006,12-07-1985,01-01-9999
16061,d004,12-07-1985,23-02-1994
16842,d004,12-07-1985,14-03-1994
21783,d004,12-07-1985,09-05-1989
11465,d005,14-07-1985,26-05-1996
11038,d008,15-07-1985,01-01-9999
16500,d007,15-07-1985,10-09-2000
12159,d005,17-07-1985,01-01-9999
13305,d007,17-07-1985,19-01-1995
16920,d004,17-07-1985,11-08-1998
17503,d004,18-07-1985,05-06-1991
19235,d006,18-07-1985,01-01-9999
20608,d008,18-07-1985,01-01-9999
21507,d002,18-07-1985,01-01-9999
20232,d007,19-07-1985,01-01-9999
20860,d006,19-07-1985,01-01-9999
10989,d002,20-07-1985,01-01-9999
12251,d006,20-07-1985,01-01-9999
15648,d006,20-07-1985,01-01-9999
17443,d005,20-07-1985,01-01-9999
17945,d007,20-07-1985,01-01-9999
20018,d004,20-07-1985,03-06-1988
21314,d007,20-07-1985,01-01-9999
11350,d005,21-07-1985,01-01-9999
17699,d005,21-07-1985,01-01-9999
10505,d007,23-07-1985,26-03-1998
10862,d007,23-07-1985,01-01-9999
11070,d006,24-07-1985,01-01-9999
16587,d003,24-07-1985,28-04-1986
17733,d004,24-07-1985,01-01-9999
10632,d005,25-07-1985,20-11-1987
13792,d002,27-07-1985,01-01-9999
14513,d007,28-07-1985,04-02-1991
16660,d005,28-07-1985,01-01-9999
18227,d002,28-07-1985,01-01-9999
19931,d004,28-07-1985,14-05-1995
21348,d005,28-07-1985,05-05-1986
14073,d009,29-07-1985,01-01-9999
10372,d004,30-07-1985,01-01-9999
13383,d002,30-07-1985,26-07-1996
13503,d007,30-07-1985,11-11-1991
13755,d006,30-07-1985,25-12-1988
19460,d008,30-07-1985,01-01-9999
15147,d005,31-07-1985,01-01-9999
18414,d008,31-07-1985,01-01-9999
18784,d002,31-07-1985,01-01-9999
13737,d005,01-08-1985,01-01-9999
16019,d005,01-08-1985,12-10-1986
10386,d005,02-08-1985,01-01-9999
12136,d006,02-08-1985,01-01-9999
14697,d008,02-08-1985,01-01-9999
15876,d005,02-08-1985,01-01-9999
19761,d008,04-08-1985,06-01-1987
18138,d008,05-08-1985,10-03-2000
20658,d007,06-08-1985,01-01-9999
13914,d002,07-08-1985,15-01-1989
18147,d008,07-08-1985,01-01-9999
18428,d002,07-08-1985,01-01-9999
20416,d005,07-08-1985,24-11-1985
14613,d002,08-08-1985,06-11-1986
11045,d004,09-08-1985,29-09-1996
10792,d005,10-08-1985,20-12-1993
12290,d002,10-08-1985,31-07-1989
16302,d006,10-08-1985,06-12-1988
18196,d004,10-08-1985,24-11-1986
10968,d007,11-08-1985,01-01-9999
12308,d002,11-08-1985,20-09-1996
14120,d004,11-08-1985,01-01-9999
18072,d009,11-08-1985,01-01-9999
20198,d005,11-08-1985,15-01-1995
12988,d006,12-08-1985,27-04-1999
15509,d004,12-08-1985,09-12-1985
17436,d007,12-08-1985,01-01-9999
16012,d001,13-08-1985,04-08-1986
16849,d004,13-08-1985,01-01-9999
12534,d004,14-08-1985,01-01-9999
17705,d004,14-08-1985,01-01-9999
10879,d005,15-08-1985,01-01-9999
14126,d004,15-08-1985,01-01-9999
18370,d005,15-08-1985,01-01-9999
13338,d004,16-08-1985,01-01-9999
16627,d005,16-08-1985,01-01-9999
11913,d005,17-08-1985,04-09-1987
12419,d004,19-08-1985,01-12-2000
19184,d004,19-08-1985,01-01-9999
19846,d009,19-08-1985,01-01-9999
18777,d009,20-08-1985,01-01-9999
17993,d001,21-08-1985,01-01-9999
15035,d004,22-08-1985,01-01-9999
15244,d005,22-08-1985,01-01-9999
11572,d004,23-08-1985,14-04-1998
15412,d005,23-08-1985,01-01-9999
19968,d004,23-08-1985,01-01-9999
10802,d004,24-08-1985,01-01-9999
17219,d004,24-08-1985,25-12-1994
18061,d004,24-08-1985,08-01-1986
21454,d009,25-08-1985,01-01-9999
12256,d003,26-08-1985,01-01-9999
14034,d002,26-08-1985,01-01-9999
12662,d005,27-08-1985,01-01-9999
13138,d001,27-08-1985,31-07-1994
16974,d005,27-08-1985,01-01-9999
17042,d007,27-08-1985,21-02-1999
14354,d007,28-08-1985,01-01-9999
11324,d004,29-08-1985,01-01-9999
12554,d004,29-08-1985,01-01-9999
17275,d007,30-08-1985,25-03-1993
10198,d005,31-08-1985,01-01-9999
11106,d005,31-08-1985,01-01-9999
19301,d004,31-08-1985,01-01-9999
11805,d005,01-09-1985,05-02-1991
18814,d002,01-09-1985,01-01-9999
20487,d009,01-09-1985,01-01-9999
20541,d007,01-09-1985,01-01-9999
13133,d001,03-09-1985,13-06-1991
14085,d003,03-09-1985,27-11-1986
18994,d007,03-09-1985,01-01-9999
18425,d004,04-09-1985,01-01-9999
13836,d007,05-09-1985,01-01-9999
16992,d005,05-09-1985,01-01-9999
18525,d005,05-09-1985,18-07-1992
12863,d004,06-09-1985,01-01-9999
17953,d009,07-09-1985,01-01-9999
18297,d007,07-09-1985,01-01-9999
10126,d009,08-09-1985,01-01-9999
13815,d004,09-09-1985,01-01-9999
15545,d005,10-09-1985,06-01-1993
17143,d004,10-09-1985,01-01-9999
10363,d004,11-09-1985,18-05-1987
18081,d009,12-09-1985,01-01-9999
21466,d008,12-09-1985,01-01-9999
21723,d005,12-09-1985,01-01-9999
11760,d004,15-09-1985,01-01-9999
11431,d003,16-09-1985,03-03-2001
12221,d005,16-09-1985,01-01-9999
16066,d007,16-09-1985,01-01-9999
11211,d004,17-09-1985,01-01-9999
19769,d005,17-09-1985,25-04-1987
21571,d008,17-09-1985,01-01-9999
11204,d004,18-09-1985,01-01-9999
11447,d004,18-09-1985,01-01-9999
14358,d008,19-09-1985,01-01-9999
16419,d005,19-09-1985,12-03-1994
20323,d005,19-09-1985,01-01-9999
21000,d004,19-09-1985,01-01-9999
12066,d002,20-09-1985,01-01-9999
20903,d005,21-09-1985,01-01-9999
20626,d004,22-09-1985,01-01-9999
12738,d004,23-09-1985,01-01-9999
15623,d005,23-09-1985,08-02-2000
10938,d001,24-09-1985,01-01-9999
12699,d007,24-09-1985,01-01-9999
16227,d004,25-09-1985,01-01-9999
17681,d007,25-09-1985,29-02-2000
20953,d005,25-09-1985,01-01-9999
10749,d004,26-09-1985,01-01-9999
18500,d003,27-09-1985,14-01-1997
12051,d004,28-09-1985,01-01-9999
17535,d005,28-09-1985,01-01-9999
20614,d004,28-09-1985,01-01-9999
11991,d008,29-09-1985,01-01-9999
13605,d007,29-09-1985,01-01-9999
17433,d005,29-09-1985,01-01-9999
16098,d004,30-09-1985,01-01-9999
20979,d007,30-09-1985,01-01-9999
20031,d003,01-10-1985,01-01-9999
19586,d005,02-10-1985,01-01-9999
14852,d003,03-10-1985,01-01-9999
19943,d004,03-10-1985,01-01-9999
16017,d002,04-10-1985,01-01-9999
18437,d002,04-10-1985,04-01-1987
18475,d004,04-10-1985,01-01-9999
21206,d004,04-10-1985,01-01-9999
21266,d007,04-10-1985,02-06-1991
12649,d003,05-10-1985,01-01-9999
13955,d006,05-10-1985,01-01-9999
15098,d005,05-10-1985,01-01-9999
20075,d005,05-10-1985,01-01-9999
11458,d008,06-10-1985,01-01-9999
13049,d008,06-10-1985,08-01-1986
14827,d007,06-10-1985,01-01-9999
18317,d002,06-10-1985,01-01-9999
20697,d004,06-10-1985,15-07-1997
13494,d004,07-10-1985,01-01-9999
14525,d004,07-10-1985,01-01-9999
16534,d002,07-10-1985,01-01-9999
15519,d005,08-10-1985,24-12-1988
16379,d004,08-10-1985,10-06-1992
10524,d004,09-10-1985,01-01-9999
10986,d005,11-10-1985,01-01-9999
10256,d007,12-10-1985,01-01-9999
17899,d006,12-10-1985,28-06-1997
18136,d005,13-10-1985,01-01-9999
10070,d005,14-10-1985,18-10-1995
10144,d002,14-10-1985,02-09-1988
21207,d004,14-10-1985,01-01-9999
16470,d005,15-10-1985,01-01-9999
16781,d005,15-10-1985,01-01-9999
11212,d007,16-10-1985,01-01-9999
11620,d005,16-10-1985,17-06-1987
11908,d007,16-10-1985,01-01-9999
17125,d006,17-10-1985,01-01-9999
11610,d004,18-10-1985,01-01-9999
10516,d005,19-10-1985,01-01-9999
15359,d007,19-10-1985,16-09-1988
20257,d005,19-10-1985,01-01-9999
10013,d003,20-10-1985,01-01-9999
11291,d005,20-10-1985,15-04-2001
14422,d004,20-10-1985,01-01-9999
14813,d007,21-10-1985,01-01-9999
16104,d005,21-10-1985,06-11-1991
12311,d005,22-10-1985,01-01-9999
19766,d009,22-10-1985,01-01-9999
20489,d005,22-10-1985,01-01-9999
21578,d004,22-10-1985,01-01-9999
11696,d007,23-10-1985,01-01-9999
20494,d007,23-10-1985,01-01-9999
11031,d001,24-10-1985,01-01-9999
17359,d005,24-10-1985,01-01-9999
21437,d007,24-10-1985,14-07-1998
15418,d007,25-10-1985,01-01-9999
16266,d007,25-10-1985,01-01-9999
21505,d006,25-10-1985,01-01-9999
12927,d004,27-10-1985,01-01-9999
14174,d004,27-10-1985,18-08-1993
13028,d007,28-10-1985,01-01-9999
14443,d007,28-10-1985,01-01-9999
18278,d006,28-10-1985,01-01-9999
19353,d005,28-10-1985,01-01-9999
10735,d009,29-10-1985,01-01-9999
13039,d005,29-10-1985,01-01-9999
18342,d004,29-10-1985,01-01-9999
19669,d007,29-10-1985,01-01-9999
11705,d002,30-10-1985,06-04-1990
12513,d007,30-10-1985,01-01-9999
12890,d007,31-10-1985,01-01-9999
16456,d006,31-10-1985,21-06-1988
11922,d006,01-11-1985,19-12-1992
18143,d004,01-11-1985,01-01-9999
18089,d005,02-11-1985,01-01-9999
11988,d005,03-11-1985,31-12-2001
20149,d004,04-11-1985,01-01-9999
21279,d005,05-11-1985,01-01-9999
10273,d007,06-11-1985,01-01-9999
21321,d005,06-11-1985,03-09-1989
20605,d005,07-11-1985,01-01-9999
11709,d004,09-11-1985,01-01-9999
15597,d002,09-11-1985,01-01-9999
13435,d004,10-11-1985,01-01-9999
18807,d008,10-11-1985,01-01-9999
18228,d004,11-11-1985,01-01-9999
19624,d007,11-11-1985,01-01-9999
20035,d009,11-11-1985,01-01-9999
20789,d005,11-11-1985,01-01-9999
20473,d005,12-11-1985,01-01-9999
11912,d005,13-11-1985,06-10-1994
12783,d005,13-11-1985,01-01-9999
10364,d004,14-11-1985,01-01-9999
11065,d004,14-11-1985,01-01-9999
16115,d007,14-11-1985,01-01-9999
19928,d006,14-11-1985,27-01-1988
20216,d004,15-11-1985,01-01-9999
20747,d001,15-11-1985,19-02-1996
13589,d008,16-11-1985,11-04-1987
13648,d004,16-11-1985,01-01-9999
15521,d007,16-11-1985,01-01-9999
21133,d007,16-11-1985,26-08-1997
10699,d006,17-11-1985,01-01-9999
14113,d005,17-11-1985,24-01-1988
17408,d004,18-11-1985,17-12-1987
18700,d003,18-11-1985,01-01-9999
19194,d003,19-11-1985,23-10-2000
20566,d007,19-11-1985,01-10-1986
21560,d001,19-11-1985,14-05-2000
10064,d008,20-11-1985,02-03-1992
12922,d007,20-11-1985,16-09-1993
18630,d005,20-11-1985,28-01-1990
18907,d004,20-11-1985,01-01-9999
19515,d005,21-11-1985,01-01-9999
11578,d004,22-11-1985,17-02-2002
12465,d002,22-11-1985,01-01-9999
12703,d007,22-11-1985,01-01-9999
15651,d004,22-11-1985,01-01-9999
17398,d009,22-11-1985,01-01-9999
12027,d005,23-11-1985,05-01-1992
13183,d003,23-11-1985,01-01-9999
20416,d008,24-11-1985,13-05-1988
11352,d004,25-11-1985,10-02-1992
21143,d007,25-11-1985,01-01-9999
13265,d006,26-11-1985,01-01-9999
13930,d007,26-11-1985,20-04-2000
16985,d008,26-11-1985,01-01-9999
13152,d004,28-11-1985,01-01-9999
16749,d007,28-11-1985,01-01-9999
14338,d006,29-11-1985,01-01-9999
15606,d005,29-11-1985,01-01-9999
11113,d001,30-11-1985,01-01-9999
13890,d003,30-11-1985,01-01-9999
14167,d004,01-12-1985,01-01-9999
16023,d005,01-12-1985,15-09-1998
19330,d007,02-12-1985,28-01-1997
13986,d007,03-12-1985,19-01-1989
21377,d005,03-12-1985,01-01-9999
15387,d004,04-12-1985,01-01-9999
15836,d007,05-12-1985,01-01-9999
19109,d007,05-12-1985,01-01-9999
20828,d003,06-12-1985,01-01-9999
21300,d006,06-12-1985,01-01-9999
16681,d007,08-12-1985,01-01-9999
12079,d008,09-12-1985,01-01-9999
12472,d005,10-12-1985,01-01-9999
18018,d007,10-12-1985,01-01-9999
12453,d004,12-12-1985,01-01-9999
12655,d004,12-12-1985,01-01-9999
17063,d007,12-12-1985,01-01-9999
17918,d006,13-12-1985,22-02-1989
12404,d004,14-12-1985,01-01-9999
16861,d004,14-12-1985,01-01-9999
10133,d004,15-12-1985,01-01-9999
15833,d005,16-12-1985,01-01-9999
11982,d004,17-12-1985,01-01-9999
14653,d004,17-12-1985,31-05-1992
11985,d004,18-12-1985,01-01-9999
12667,d004,18-12-1985,01-01-9999
19615,d005,19-12-1985,01-01-9999
11388,d004,20-12-1985,01-01-9999
14882,d007,20-12-1985,01-01-9999
15558,d007,20-12-1985,03-10-1994
15163,d005,22-12-1985,01-01-9999
17481,d007,22-12-1985,01-01-9999
21699,d004,23-12-1985,01-01-9999
11920,d005,24-12-1985,29-03-1996
12817,d005,24-12-1985,01-01-9999
12926,d008,24-12-1985,01-01-9999
13880,d003,24-12-1985,20-12-1999
10863,d004,25-12-1985,01-01-9999
15976,d009,25-12-1985,02-07-2002
16331,d007,25-12-1985,27-12-2000
16707,d004,25-12-1985,01-01-9999
18010,d001,25-12-1985,01-01-9999
14740,d004,26-12-1985,31-05-2000
15382,d007,26-12-1985,01-01-9999
21378,d005,26-12-1985,01-01-9999
21653,d004,27-12-1985,01-01-9999
13951,d007,28-12-1985,01-01-9999
17081,d006,28-12-1985,01-01-9999
10744,d007,29-12-1985,03-06-1992
18979,d004,29-12-1985,14-06-1987
19356,d001,29-12-1985,02-10-2000
21618,d003,30-12-1985,01-01-9999
11099,d007,31-12-1985,01-01-9999
16105,d007,31-12-1985,08-05-1996
18250,d005,31-12-1985,21-02-1988
16483,d004,01-01-1986,20-06-1999
10170,d004,02-01-1986,06-02-1989
11378,d005,03-01-1986,17-12-1988
13728,d004,03-01-1986,01-01-9999
14969,d007,03-01-1986,01-01-9999
15038,d005,03-01-1986,01-01-9999
15285,d005,03-01-1986,01-01-9999
13531,d004,04-01-1986,01-01-9999
15325,d005,04-01-1986,01-01-9999
20707,d005,04-01-1986,01-01-9999
12779,d004,05-01-1986,21-11-1993
15928,d005,05-01-1986,01-01-9999
10757,d005,06-01-1986,18-10-1991
14265,d005,06-01-1986,30-06-1998
11591,d008,07-01-1986,18-10-1987
15800,d004,07-01-1986,01-01-9999
18577,d005,07-01-1986,07-02-1994
10693,d009,08-01-1986,01-01-9999
15034,d004,08-01-1986,01-01-9999
16865,d009,08-01-1986,01-01-9999
20345,d001,08-01-1986,01-01-9999
20501,d005,08-01-1986,08-07-2002
16231,d002,09-01-1986,01-01-9999
19712,d009,09-01-1986,01-01-9999
10396,d005,11-01-1986,01-01-9999
10822,d005,11-01-1986,01-01-9999
14965,d005,11-01-1986,01-01-9999
